step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
7920,1.9928,0.178206,0.704438,0.440984,0.00434704,0.00112666,0.00434704,0.184119,0.140513,0.547154,0.709275,0.0482652,0.0249743,0.0464432,0.236259,0.0444833,0.00541719,1.07635,0.0685576,2.32419,0.165921,0,0.0667765,0.577416,4.85719,0.679054,0.454446,0.55716,2.24698,0.179999,0.232751,0,0.633857,0.30993,0,-0.00080646,0.245178,0.97051,0.297354,0.0474518,0.0485732,0.00623949,0.00554971,0.44536,0.0463422,8.42553,-0.273273,10.0013,0.642221,0.524526,-8.2683,-0.333333,0.0440786,-0.0751659,0.495949,9.125,10.1667,0,0,3.20833,9.45833,8.375,-5.98972,0.0001,0.000577002,0.0336813,1.71254,0.122544,53569,0.185309,248.81,0.956502
7921,1.95963,0.211902,0.851205,0.432916,0.00403778,0.00115311,0.00403778,0.209583,0.16739,0.526185,0.857289,0.0443117,0.0291055,0.0429421,0.228373,0.0455584,0.00198413,1.11358,0.0899962,2.34527,0.168764,0,0.0630987,0.614245,5.04245,0.704461,0.493258,0.516655,2.08255,0.214063,0.225145,0,0.863787,0.366911,0,-0.00133895,0.234065,0.970645,0.346132,0.0440295,0.0444277,0.00515276,0.00454368,0.453672,0.0428618,8.52328,-1.5785,9.3817,0.653334,0.480254,-8.44041,-0.333333,0.0476566,-0.0884385,0.593094,8.58333,6.04167,0,0,1.75,5.66667,8.08333,-5.98999,0.0001,-0.00232358,0.0152797,1.70207,0.128732,53694,0.185306,258.72,1.57328
7922,1.87878,0.223001,0.976474,0.437005,0.00382201,0.00106384,0.00382201,0.221524,0.183966,0.516654,0.988461,0.0421147,0.031814,0.0408979,0.217273,0.0430413,0,1.12159,0.109046,2.35785,0.160815,0,0.0592302,0.637024,5.15761,0.720398,0.520361,0.488037,1.96798,0.228817,0.213954,0,0.933767,0.544616,0,-0.00157192,0.22493,0.970584,0.378202,0.0420049,0.0420178,0.00490887,0.00437057,0.458192,0.0408067,8.69963,-2.00579,9.19583,0.654682,0.456333,-8.84401,-0.333333,0.0470366,-0.0976024,0.681216,6.375,4.5,0,0,0.958333,4.41667,6.08333,-5.98867,0.0001,-0.00294269,0.0281898,1.93959,0.155272,46926,0.185345,267.48,1.77007
7923,2.03077,0.203372,0.925398,0.436334,0.00378908,0.00100666,0.00378908,0.209008,0.168072,0.51631,0.930859,0.0424706,0.0280651,0.0410136,0.213051,0.0442708,0,1.11182,0.0984336,2.33235,0.161997,0,0.0609421,0.640805,5.17542,0.721661,0.52447,0.484861,1.95425,0.205883,0.2095,0,0.841379,0.547891,0,-0.00153547,0.222018,0.970255,0.386755,0.0415495,0.0421045,0.00519744,0.00463646,0.459995,0.0404577,9.20604,-1.0994,9.60222,0.639344,0.464644,-9.47685,-0.333333,0.0459784,-0.095182,0.648239,3.41667,5,0,0,1.25,4.375,4.625,-5.98423,0.0001,-0.00154193,0.0361747,2.08296,0.161339,43801,0.185395,257.04,1.24601
7924,2.19986,0.1914,0.886835,0.439209,0.00383692,0.00105043,0.00383692,0.199691,0.159241,0.514261,0.892424,0.0436886,0.0262026,0.0420443,0.213623,0.0420687,0,1.10383,0.0894352,2.32134,0.160824,0,0.0613461,0.63533,5.1313,0.715821,0.518466,0.492402,1.99256,0.192813,0.210032,0,0.803585,0.509642,0,-0.00139429,0.220961,0.970716,0.37877,0.0423848,0.0432884,0.00503431,0.0044499,0.454179,0.0412875,9.01615,-0.509301,9.97565,0.628911,0.477054,-9.61341,-0.333333,0.0470512,-0.0914022,0.621796,4.29167,7.16667,0,0,2.20833,5.83333,31.1667,-5.98185,0.0001,-0.00170903,0.0398976,2.02609,0.162593,44914,0.185433,300,1.974
7925,2.29492,0.152769,0.467851,0.402531,0.00501856,0.00106158,0.00501856,0.164924,0.112849,0.577594,0.469408,0.0560793,0.0190359,0.0533538,0.257507,0.0527653,0,1.01968,0.0440029,2.26525,0.197322,0,0.0829147,0.502278,4.42724,0.624018,0.370383,0.643337,2.59217,0.153914,0.254382,0,0.379536,0.0724747,0,0.000107779,0.272633,0.967309,0.188342,0.0545523,0.0571268,0.00652845,0.00575312,0.429954,0.0534252,7.8833,1.22004,11.1419,0.633521,0.640463,-7.02262,-0.333333,0.0360164,-0.0562796,0.327409,2.83333,3,0,0,0.583333,2.45833,0,-5.97915,0.0001,-0.00257026,0.0416996,2.05476,0.155879,44468,0.185472,201.55,-0.118533
7926,2.28951,0.192538,0.661132,0.427256,0.00470833,0.00113158,0.00470833,0.194749,0.149621,0.568003,0.666012,0.0531662,0.0203249,0.0506214,0.255261,0.0483692,0,1.07712,0.0706882,2.28341,0.184101,0,0.0776788,0.531206,4.62536,0.649086,0.409104,0.605073,2.45491,0.194773,0.252444,0,0.634855,0.25114,0,-0.000315247,0.259431,0.968764,0.236171,0.0514936,0.0538825,0.00701801,0.00628196,0.434794,0.050458,7.89537,0.890936,11.029,0.623535,0.609742,-7.6495,-0.333333,0.0406892,-0.0710198,0.468457,3.08333,3,0,0,1,3.5,0.0833333,-5.97726,0.0001,-0.000804664,0.0522257,2.08622,0.155468,43852,0.185497,216.92,0.694016
7927,2.28759,0.177759,0.612191,0.41082,0.00464196,0.00101824,0.00464196,0.187665,0.133304,0.559137,0.616829,0.0518355,0.0222581,0.049502,0.247063,0.0487328,0,1.06165,0.063513,2.2728,0.18223,0,0.075434,0.543988,4.65378,0.653009,0.417539,0.596157,2.41015,0.180315,0.244282,0,0.551273,0.206118,0,-0.000539326,0.25805,0.968242,0.245498,0.0505369,0.0524016,0.00640657,0.00570927,0.439387,0.0494148,7.9199,0.251831,10.6586,0.636329,0.595275,-7.56183,-0.333333,0.0378393,-0.0706445,0.429419,3.41667,3.66667,0,0,1.16667,2.29167,0.458333,-5.97669,0.0001,-0.00101251,0.0711201,2.06052,0.152625,44418,0.185475,223.09,0.371938
7928,2.12278,0.176745,0.666246,0.411967,0.00446642,0.000972108,0.00446642,0.181182,0.136736,0.545091,0.67076,0.0495679,0.0234042,0.0475703,0.236781,0.0498108,0,1.05703,0.066612,2.32731,0.183487,0,0.0725296,0.559189,4.76657,0.667967,0.439504,0.574872,2.31913,0.178413,0.233905,0,0.659477,0.261307,0,-0.000762884,0.255835,0.969423,0.276422,0.0485786,0.0500259,0.00606249,0.00543374,0.436866,0.0474633,7.92695,-0.0852859,10.3572,0.637974,0.55766,-7.90075,-0.333333,0.0375024,-0.0718235,0.462409,4.95833,4.375,0,0,1.5,4,1.95833,-5.97745,0.0001,0.000246932,0.0583121,2.06407,0.156988,44259,0.185457,228.66,0.480321
7929,2.07364,0.191311,0.736079,0.434967,0.00430105,0.00112786,0.00430105,0.197407,0.149212,0.537349,0.740574,0.047626,0.0252616,0.0458908,0.236446,0.0447154,0,1.08847,0.073124,2.30558,0.169741,0,0.0665476,0.583049,4.87362,0.682318,0.460254,0.551609,2.22657,0.193009,0.233305,0,0.715506,0.291586,0,-0.000921086,0.238352,0.970241,0.306887,0.0468336,0.0478905,0.00646755,0.00583087,0.449995,0.0457342,8.42709,-0.454924,10.0384,0.638488,0.521698,-8.20062,-0.333333,0.0443594,-0.0801477,0.510936,5.20833,5.45833,0,0,1.95833,4.75,4.33333,-5.97694,0.0001,0.00442724,0.0461107,2.07077,0.15492,44167,0.185492,240.42,0.828352
