step,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/action_over_limit,Episode_Reward/curriculum_accelerate,Episode_Reward/curriculum_alignment,Episode_Reward/curriculum_continuous,Episode_Reward/curriculum_hold,Episode_Reward/curriculum_steering,Episode_Reward/curriculum_transfer,Episode_Reward/dynamic_action_rate,Episode_Reward/failure,Episode_Reward/foreaft_balance,Episode_Reward/joint_torques_l2,Episode_Reward/self_collisions,Episode_Reward/waist_support,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
20,0,0.060819,-2.82545e-06,0.0586428,0.241662,0.0470523,0,0.582386,0,1.30624,0.190494,0,0.0792142,0.381594,3.62512,0.472695,0.0483983,0.836741,3.4792,0,0.234934,0,0,0,0,0.00124506,0.351698,0.957355,0.0761228,0.0603993,0.0621978,0.0114487,0.00910373,0.390736,0.0611219,9.96788,-3.43837,3.94193,0.89021,0.642962,-0.54226,-0.125336,0.520268,-0.00416078,0,0,0.00291665,0.010121,-0.000696533,-0.333333,-0.013435,-0.000270867,-0.00935887,0.00109211,5.625,22,0,0,0,0,0,-14.6455,1e-05,0.0276442,1.87908,1.41431,0.120006,64070,0.0850288,123.08,0.289032
21,0,0.0605116,-0.000417845,0.0589535,0.232367,0.037584,0,0.563161,0,1.34272,0.168049,0,0.076226,0.395903,3.55042,0.472782,0.0543078,0.845945,3.56098,0,0.223958,0,0,0,0,0.00138509,0.323271,0.959672,0.0625459,0.060828,0.0619298,0.0078757,0.00535766,0.409281,0.0616029,10.8189,-2.82306,3.22622,0.903567,0.554932,-0.859627,-0.125365,0.550092,-0.00487498,0,0,0.00324557,0.011076,-0.000630841,-0.333333,-0.0197705,-0.000268052,-0.00545726,0.000785083,33.4583,68.0833,0,0,0,0,0,-14.645,1e-05,0.053123,1.78897,1.5431,0.122241,59029,0.0850312,127.83,0.452999
22,0,0.0600588,-0.000776422,0.0588563,0.222703,0.0362475,0,0.553727,0,1.34825,0.169568,0,0.0768278,0.421925,3.56279,0.477491,0.0674129,0.851714,3.55477,0,0.214385,0,0,0,0,0.00124233,0.327996,0.960459,0.0649299,0.0607235,0.0613315,0.00705519,0.00448615,0.422447,0.0616106,10.6569,-3.05233,3.23227,0.89842,0.545487,-1.13894,-0.116945,0.550466,-0.00820694,0,0,0.00495086,0.0139882,-0.000612733,-0.333333,-0.0308976,-0.000267102,-0.00477762,0.00103036,27.1667,36.2917,0,0,0,0,0,-14.6447,1e-05,0.00915733,0.515423,1.53086,0.121517,59492,0.0850325,131.89,0.498319
23,0,0.0587417,-0.000334563,0.057693,0.218243,0.0390624,0,0.55861,0,1.4245,0.160875,0,0.078867,0.423281,3.71517,0.495096,0.0870344,0.833984,3.46568,0,0.209677,0,0,0,0,0.00097484,0.329177,0.95854,0.0819424,0.0594182,0.0600004,0.00230765,0.00014916,0.418505,0.0601505,9.60714,-4.00803,3.80715,0.877315,0.598228,-1.4698,-0.115058,0.54698,-0.0130392,0,2.62601e-06,0.00523698,0.0186539,-0.000621426,-0.333333,-0.0476807,-0.00028771,-0.00865068,0.00176316,5.58333,5.66667,0,0,0,0.0416667,0,-14.6443,7.59375e-05,0.00627788,0.115334,1.51721,0.119432,60064,0.0850387,134.46,0.278416
24,0,0.0583241,-9.62598e-05,0.0568322,0.22382,0.0445768,0,0.579152,0,1.45957,0.182951,0,0.0840054,0.418808,3.7,0.492288,0.0942098,0.827626,3.45394,0,0.215479,0,0,0,0,0.00114504,0.34202,0.955429,0.0957385,0.0584302,0.0593964,0.00351682,0.00130037,0.431923,0.0590078,10.2792,-3.92897,4.0681,0.87407,0.570092,-1.48279,-0.122737,0.529436,-0.0158973,0,0.000114131,0.0049063,0.0177243,-0.000634505,-0.333333,-0.0624594,-0.000301403,-0.017537,0.00208875,0.791667,1.45833,0,0,0,0,0,-14.6339,0.000170859,0.00238133,0.0756859,1.36897,0.118824,66073,0.0852087,137.1,0.00774351
25,0,0.0576924,0.00155676,0.0552447,0.224417,0.0583329,0,0.579883,0,1.44709,0.204337,0,0.0798244,0.378473,3.85857,0.508612,0.105959,0.812396,3.34974,0,0.217656,0,0,0,0,0.00106639,0.38596,0.944263,0.121499,0.0571878,0.0592651,0.00431383,0.00290354,0.426844,0.0572213,10.8912,-4.95252,4.50189,0.883318,0.615662,-1.37266,-0.126561,0.482038,-0.0356131,0,0,0.000860044,0.0233696,-0.000912774,-0.333333,-0.0187756,-0.000309284,-0.0354753,0.00518807,2.29167,12.8333,0,0,0,0,0,-14.6111,1e-05,0.0028203,1.33286,1.34562,0.119036,67117,0.0852412,122.2,0.0394423
26,0,0.0608089,-0.000263775,0.0590047,0.236245,0.0399852,0,0.568549,0,1.33671,0.175556,0,0.0759224,0.383047,3.55229,0.472414,0.050346,0.841794,3.55168,0,0.228087,0,0,0,0,0.00142413,0.324508,0.959185,0.0605362,0.0608985,0.0622725,0.00817048,0.00563403,0.40449,0.0615723,10.8027,-2.82189,3.30352,0.904152,0.568092,-0.749732,-0.133624,0.54067,-0.00415414,0,0,0.00238334,0.00927084,-0.000653366,-0.333333,-0.0175648,-0.000267999,-0.00669856,0.000609713,21.4167,59.2083,0,0,0,0,0,-14.6099,1e-05,0.027577,1.64552,1.49028,0.118925,61088,0.0852448,128.26,0.558077
27,0,0.0602753,-0.000672551,0.0589093,0.223874,0.0373505,0,0.553951,0,1.35446,0.169357,0,0.0769792,0.416336,3.57005,0.476468,0.0647693,0.850832,3.55803,0,0.215507,0,0,0,0,0.00135115,0.329673,0.960023,0.0644825,0.0608352,0.0616264,0.008115,0.00556117,0.420195,0.0617518,10.6777,-3.05784,3.34603,0.896292,0.5509,-1.07094,-0.119742,0.549686,-0.00754338,0,0,0.00456911,0.0134391,-0.00060553,-0.333333,-0.0294842,-0.000267443,-0.00507399,0.000944735,28.375,42.375,0,0,0,0,0,-14.6095,1e-05,0.00928199,0.721658,1.48874,0.119408,61128,0.0852464,130.05,0.3197
28,0,0.0593376,-0.000710537,0.0582024,0.216993,0.0365873,0,0.551382,0,1.39881,0.167751,0,0.0765732,0.424824,3.63502,0.486799,0.0809053,0.844955,3.50472,0,0.208546,0,0,0,0,0.00100772,0.333065,0.95932,0.073687,0.0598716,0.0604779,0.00466899,0.00217939,0.424313,0.0607155,10.0224,-3.7505,3.57093,0.88447,0.578007,-1.35419,-0.113063,0.548326,-0.0132094,0,6.16576e-07,0.00512558,0.0169864,-0.000594939,-0.333333,-0.0450412,-0.000279638,-0.00733445,0.00129346,12.375,15.1667,0,0,0,0,0,-14.6093,5.0625e-05,0.0074589,0.153463,1.47888,0.118659,61534,0.0852489,134.75,0.175452
29,0,0.0581557,-0.000293722,0.0573472,0.215543,0.0395424,0,0.558351,0,1.45462,0.164946,0,0.077818,0.411807,3.70647,0.495165,0.0919602,0.822441,3.39835,0,0.207735,0,0,0,0,0.000606985,0.334703,0.957038,0.0893913,0.0587485,0.0592311,0.00152387,-0.000616898,0.410028,0.0594533,9.69069,-4.1731,4.053,0.866019,0.635015,-1.54822,-0.121755,0.548177,-0.0150802,0,1.54788e-05,0.00535868,0.0206593,-0.000627281,-0.333333,-0.0578204,-0.000300106,-0.00949884,0.00203876,1.91667,2,0,0,0,0,0,-14.6083,1e-05,0.00540477,0.0850283,1.48099,0.119264,61430,0.0852563,135.83,0.146985
30,0,0.0606733,0.000497235,0.0582056,0.236959,0.0523409,0,0.575962,0,1.2977,0.210795,0,0.0860405,0.382461,3.7143,0.489488,0.0562378,0.822143,3.45368,0,0.230383,0,0,0,0,0.00146744,0.342277,0.955293,0.0721541,0.0603178,0.0628007,0.00786922,0.00603553,0.418365,0.0610143,10.618,-3.7727,4.07524,0.88701,0.656701,-0.709026,-0.125709,0.488109,-0.00433881,0,0,0.00173704,0.00860006,-0.000714708,-0.333333,-0.0325006,-0.000259967,-0.0157123,0.000654312,1.54167,8.25,0,0,0,0,0,-14.6074,1.5e-05,0.00494866,0.965383,1.38309,0.119465,65424,0.0852611,121.54,-0.158575
31,0,0.0611863,-0.00010766,0.0591258,0.240093,0.0404644,0,0.573969,0,1.31857,0.179063,0,0.0755808,0.37253,3.55858,0.472446,0.0469648,0.839586,3.54233,0,0.23193,0,0,0,0,0.00145247,0.325121,0.958695,0.0586324,0.0610284,0.0627173,0.00783129,0.00530423,0.400442,0.0615678,10.8176,-2.77304,3.36933,0.905205,0.580931,-0.658381,-0.130314,0.538684,-0.00342455,0,0,0.00171903,0.00763286,-0.000650266,-0.333333,-0.015299,-0.000267464,-0.007998,0.000495575,15.25,47.8333,0,0,0,0,0,-14.6069,1e-05,0.0120071,1.49591,1.49138,0.124086,60851,0.0852627,126.63,0.294721
